country,speakersnum,people
Германия,80000000,83000000
Австрия,7570000,9000000
Лихтенштейн,35000,39000
Швейцария,5000000,8700000
Люксембург,474000,645000
Италия,330000,59000000
Бельгия,78000,11000000
Франция,1200000,68000000
Россия,842000,146000000
Канада,438000,38000000
Нидерланды,386000,18000000
Казахстан,358000,19000000
Аргентина,300000,46000000
ЮАР,300000,60000000
Великобритания,230000,67000000
Венгрия,200000,9000000
Израиль,200000,9500000
Парагвай,166000,7400000
Польша,155000,38000000
Австралия,150000,26000000
Ирландия,100000,5000000
Испания,100000,47000000
Мексика,90000,128000000
США,1100000,332000000
Бразилия,900000,214000000
